	LL07	LL09	LL11	LL08	LL10	LL12
ENSLAIG00005000002	639	459	333	616	526	342
ENSLAIG00005000003	2264	1562	1268	3220	1599	1210
ENSLAIG00005000004	3	12	0	10	3	2
ENSLAIG00005000005	1	0	2	3	0	2
ENSLAIG00005000006	2854	4308	2861	6469	4920	2562
ENSLAIG00005000007	321	269	125	387	227	123
ENSLAIG00005000008	3425	2756	1951	3895	3533	1791
ENSLAIG00005000009	452	476	348	649	504	390
ENSLAIG00005000010	44	70	28	62	52	27
ENSLAIG00005000011	346	484	145	358	491	150
ENSLAIG00005000012	1854	1458	364	2193	1403	406
ENSLAIG00005000013	1258	1416	863	1773	1437	697
ENSLAIG00005000014	278	194	200	301	210	197
ENSLAIG00005000016	4424	4032	2249	5214	3937	2178
ENSLAIG00005000017	0	0	0	0	0	0
ENSLAIG00005000018	341	377	318	479	391	418
ENSLAIG00005000019	2	0	0	8	1	0
ENSLAIG00005000021	335	246	142	401	298	161
ENSLAIG00005000022	264	232	110	276	171	135
ENSLAIG00005000023	420	385	199	498	373	215
ENSLAIG00005000026	2011	858	419	1263	1545	385
ENSLAIG00005000027	0	0	0	0	0	0
ENSLAIG00005000028	886	748	429	1085	859	430
ENSLAIG00005000029	5648	6745	711	6343	7135	523
ENSLAIG00005000030	496	646	430	663	620	475
ENSLAIG00005000031	71	115	31	84	119	35
ENSLAIG00005000033	0	0	4	0	0	8
ENSLAIG00005000034	2	3	10	2	4	4
ENSLAIG00005000035	31	19	12	67	16	9
ENSLAIG00005000036	269	153	76	396	182	99
ENSLAIG00005000037	96	158	171	115	151	177
ENSLAIG00005000038	607	548	278	762	567	335
ENSLAIG00005000040	0	0	0	0	0	0
ENSLAIG00005000042	0	0	0	0	0	0
ENSLAIG00005000044	182	283	158	190	372	119
ENSLAIG00005000045	688	609	321	958	588	290
ENSLAIG00005000046	0	0	1	0	0	0
ENSLAIG00005000047	23	23	11	41	13	8
ENSLAIG00005000048	160	96	73	178	123	69
ENSLAIG00005000049	250	253	207	368	235	152
ENSLAIG00005000050	153	41	50	151	39	14
ENSLAIG00005000051	10	7	10	8	16	9
ENSLAIG00005000052	22	11	8	16	4	24
ENSLAIG00005000054	741	520	779	983	535	677
ENSLAIG00005000055	213	114	48	172	161	49
ENSLAIG00005000056	3847	2504	1314	3822	2277	1139
ENSLAIG00005000057	6	4	0	5	4	0
ENSLAIG00005000058	1	0	2	0	0	5
ENSLAIG00005000059	6468	4956	2402	7786	4543	2073
ENSLAIG00005000060	575	627	368	722	504	388
ENSLAIG00005000061	50	59	28	72	87	24
