tx	gene_id	d3_fw_1	d3_fw_2	d3_fw_3	d3_hw_1	d3_hw_2	d3_hw_3	d6_fw_1	d6_fw_2	d6_fw_3	d6_hw_1	d6_hw_2	d6_hw_3
HMEL032416g1.t1	HMEL032416g1	0	0	0	0	0	0	0	0	0	0	0	0
HMEL035810g1.t1	HMEL035810g1	192.413953	226.593475	232.515649	194.543238	260.774394	215.380943	103.236797	109.00561	87.404093	78.663566	123.37507	99.367209
HMEL035809g1.t1	HMEL035809g1	189.111957	237.069546	211.941089	170.746289	237.505954	202.525945	105.057803	95.38252	92.840161	81.449957	75.827224	75.773357
HMEL035815g1.t1	HMEL035815g1	157.647299	206.456881	171.808516	150.870946	214.73868	165.6306	110.49852	73.223594	69.977213	80.608595	174.754032	72.675668
HMEL013040g1.t1	HMEL013040g1	3.276519	1.1545	9.052898	2.533	7.844086	7.26482	8.727946	13.165468	28.688844	43.735658	41.469266	13.753062
HMEL013040g2.t1	HMEL013040g2	0.354009	0	0	0.282908	0.738718	0	4.539672	3.3176	4.96507	1.928668	8.0515	5.992437
HMEL013040g3.t1	HMEL013040g3	0.656784	0.473774	0.361664	0	5.451167	0.372934	1.895427	0	7.325105	8.549599	42.936645	4.219275
HMEL013045g3.t1	HMEL013045g3	0	16.973987	0	2.095884	0	0	0	0	0	0	0	0
HMEL009249g1.t1	HMEL009249g1	1167.233631	808.892257	520.543451	1055.025603	705.557189	667.912023	297.719013	401.551767	316.433328	246.556645	176.562441	298.346475
HMEL025047g1.t1	HMEL025047g1	0.149412	0.968826	0.245559	0.601137	1.081622	0	0	2.594094	1.445413	0.422098	4.639762	2.667064
HMEL025047g2.t1	HMEL025047g2	0.657938	0.283998	0.752287	0.584003	0.881171	0.332911	3.758888	3.850998	10.332433	10.382415	5.509144	4.205849
HMEL011562g1.t1	HMEL011562g1	424.157662	514.561915	130.044885	710.515383	364.549918	114.803749	145.270508	416.801776	70.901288	60.512054	142.578165	371.547416
HMEL011562g3.t1	HMEL011562g3	3.641802	11.833499	0	6.733143	6.120363	0.958054	1.205431	6.184597	0	3.091292	2.487359	5.31278
HMEL011562g6.t1	HMEL011562g6	4.183032	11.029115	3.54735	10.867213	12.032782	4.048632	1.940306	14.445973	1.47877	1.780975	3.438196	16.004887
HMEL035827g1.t1	HMEL035827g1	0	0	0	0	6.257314	0	0	0	0	0	9.811675	0
HMEL002096g1.t1	HMEL002096g1	2.766917	3.925908	0	4.307181	4.759758	3.098464	3.731693	11.17189	4.07364	11.695013	16.765818	13.130087
HMEL035660g1.t1	HMEL035660g1	0	1.180351	0	0	0	0	0	3.366452	19.551851	8.251206	12.915886	0
HMEL008471g6.t1	HMEL008471g6	13.671523	20.978908	32.148476	15.058127	25.488372	18.999357	4.900069	17.954064	26.924584	13.346524	18.695656	23.541944
HMEL008471g4.t1	HMEL008471g4	0.907482	0	0	0	0	0	0	0	0	9.219162	108.004749	1.436215
HMEL008471g1.t1	HMEL008471g1	0	0.860973	0	0	0.833814	0	0	9.781649	3.581682	14.454429	6.675597	5.122771
HMEL007803g1.t1	HMEL007803g1	0.237532	0	0.39294	0	0.246644	0	0	0.753652	1.131791	2.641411	0.851361	1.242351
HMEL012191g1.t1	HMEL012191g1	0	0	0	0	0	0	0	0	0	0	0	0
HMEL012191g1.t2	HMEL012191g1	13.41445	8.972699	8.087191	8.449503	9.971481	8.075173	4.837038	25.660063	5.308132	12.111901	38.26395	11.492179
HMEL036024g1.t1	HMEL036024g1	0	0	0	2.915471	0	0	0	0	5.488212	0	4.174862	0
HMEL014279g1.t1	HMEL014279g1	0	0	0	0	0	0	0	0	0	0	30.915013	0
HMEL012196g2.t1	HMEL012196g2	8.100407	0	0	6.282008	0	0	67.875099	0	0	20.203106	462.766432	162.523935
HMEL012199g1.t1	HMEL012199g1	134.70727	500.535613	1180.190733	136.892145	881.553954	674.14563	873.196848	13.211523	664.920914	674.077359	915.290204	7.813112
HMEL012199g2.t1	HMEL012199g2	47.970897	32.741325	257.772467	67.582364	21.875087	183.61203	160.988792	63.261101	176.057142	130.646391	160.974395	80.575839
HMEL012199g3.t1	HMEL012199g3	526.423874	267.552373	134.651479	567.641707	196.706802	144.71579	90.536623	23.402214	115.423897	108.117074	86.023581	25.15612
HMEL010547g1.t1	HMEL010547g1	358.921128	347.383475	129.358761	332.584506	288.773055	113.549293	265.437712	126.33354	264.893525	189.186191	122.049777	177.621622
HMEL032660g1.t1	HMEL032660g1	0	0	0	0	0	0	0	0	0	0	4.021276	2.029821
HMEL013525g1.t1	HMEL013525g1	13.392027	0	0	15.646929	13.998485	0	55.535478	0	0	0	0	0
HMEL013525g1.t2	HMEL013525g1	0	28.233	0	0	0	0	0	0	0	0	0	22.026695
HMEL017933g2.t1	HMEL017933g2	21.240002	31.869483	38.924172	39.719027	41.260244	22.284906	0	33.664524	14.663888	44.690981	7.38052	22.861821
HMEL017931g1.t1	HMEL017931g1	340.75679	201.835552	148.353992	265.176319	165.068828	147.877058	69.150396	89.938208	73.370136	97.108751	33.218917	96.685508
HMEL035449g1.t1	HMEL035449g1	0	0	0	0	0	0	0	5.585945	4.07364	7.017008	7.620826	8.753391
HMEL013519g1.t1	HMEL013519g1	96.233536	81.250554	41.002024	93.219092	63.461349	53.762718	21.82439	54.173304	22.914754	34.09182	19.388995	53.644601
HMEL035450g1.t1	HMEL035450g1	0.172795	0.435028	0.188053	0.139473	0.177952	0.194193	0	0.562553	1.981519	0.827554	2.147447	1.054386
HMEL013518g1.t1	HMEL013518g1	6.072096	5.368125	0	7.846586	6.246983	0	4.066249	3.057388	0	5.094527	3.34216	3.192025
HMEL013517g2.t1	HMEL013517g2	61.055645	47.630745	62.370718	55.871563	40.200333	49.463697	33.152624	52.032191	34.374003	25.286661	25.690321	46.371659
HMEL013514g1.t1	HMEL013514g1	32.820532	31.589258	28.488836	34.955138	31.258936	23.265022	16.95478	54.175637	18.414899	56.800579	29.681441	58.178487
HMEL013510g1.t1	HMEL013510g1	3.991613	5.756596	2.405622	5.465755	10.359452	1.023018	0.382199	1.698514	0.641285	2.50012	2.758686	2.152937
HMEL035451g1.t1	HMEL035451g1	0	0	0	0	0	0	0	0	0	0	0	2.327895
