"","LL07","LL09","LL11","LL08","LL10","LL12","LL13","LL15","LL17","LL14","LL16","LL18"
"ENSLAIG00005000002",266.38507865072,215.531009040722,229.266954845672,207.313977507408,245.715535165086,247.06510318019,199.259768581372,239.615441350332,182.901214281939,169.504373637633,251.03827905083,190.635939195325
"ENSLAIG00005000003",943.81192185482,733.462823794353,873.004500733669,1083.6867006069,746.956541309835,874.119224701843,1032.20150391251,702.206362846112,1411.38770354229,1347.24587343096,604.165458248998,1647.6391887596
"ENSLAIG00005000004",1.25063417206911,5.63479762197966,0,3.36548664784753,1.40141940208224,1.44482516479643,8.97566525141316,0,0,1.25558795287135,0,3.40421319991652
"ENSLAIG00005000005",0.416878057356369,0,1.37697870778181,1.00964599435426,0,1.44482516479643,8.97566525141316,0,0,1.25558795287135,0,0
"ENSLAIG00005000006",1189.76997569508,2022.8923462907,1969.76804148188,2177.13331249256,2298.32781941488,1850.82103610423,1931.56316210411,1231.35712916143,1777.19013210617,2077.99806200209,647.678759951141,2195.71751394616
"ENSLAIG00005000007",133.817856411395,126.313380026044,86.0611692363633,130.244333271699,106.040734757556,88.8567476349807,71.8053220113053,63.2318525785599,76.2088392841411,85.379980795252,45.1868902291494,66.3821573983722
"ENSLAIG00005000008",1427.80734644556,1294.12518718133,1343.24272944116,1310.85704933661,1650.40491585219,1293.84093507521,1698.19586556737,1434.36465586102,2328.94212852335,1740.24490267969,1256.86498378116,2622.94627053568
"ENSLAIG00005000009",188.428881925079,223.513639005193,239.594295154035,218.420083445304,235.438459549817,281.740907135305,274.655356693243,366.079146507452,350.560660707049,328.964043652294,423.4178973324,354.038172791318
"ENSLAIG00005000010",18.3426345236802,32.8696527948814,19.2777019089454,20.8660172166547,24.2912696360922,19.5051397247519,8.97566525141316,16.6399612048842,36.5802428563877,12.5558795287135,8.36794263502767,11.9147461997078
"ENSLAIG00005000011",144.239807845304,227.27017075318,99.8309563141814,120.484421992941,229.365642140793,108.361887359733,524.178850682529,322.815247374753,335.318892850221,642.861031870132,261.079810212863,503.823553587645
"ENSLAIG00005000012",772.891918338709,684.627911070529,250.61012481629,738.051221872962,655.397140373795,293.299508453676,337.485013453135,346.111193061591,454.204682133481,362.864918379821,264.426987266874,447.654035789023
"ENSLAIG00005000013",524.432596154312,664.9061193936,594.166312407852,596.700782663366,671.279893597394,503.521569931557,420.061133766136,425.983006845035,466.398096418944,416.855200353289,364.842298887206,491.908807387937
"ENSLAIG00005000014",115.892099945071,91.0958948886712,137.697870778181,101.301148100211,98.0993581457569,142.315278732449,131.044712670632,96.5117749883282,115.837435711894,133.092323004363,127.192728052421,117.44535539712
"ENSLAIG00005000016",1844.26852574458,1893.29200098517,1548.41255690065,1754.7647381877,1839.12939533259,1573.41460446332,2055.42734257361,2439.41831263602,2956.90296422468,2291.44801399022,1794.08690094993,3082.51505252441
"ENSLAIG00005000017",0,0,0,0,0,0,1.79513305028263,0,0,1.25558795287135,0,0
"ENSLAIG00005000018",142.155417558522,177.026558623861,218.939614537308,161.206810431896,182.651662071385,301.968459442455,222.596498235046,369.407138748429,253.013346423348,200.894072459416,319.655408658057,262.124416393572
"ENSLAIG00005000019",0.833756114712738,0,0,2.69238931827802,0.46713980069408,0,21.5415966033916,0,0,3.76676385861406,0,3.40421319991652
"ENSLAIG00005000021",139.654149214384,115.513351250583,97.7654882525086,134.956014578686,139.207660606836,116.308425766113,100.527450815827,246.271425832286,73.1604857127755,120.53644347565,251.03827905083,166.80644679591
"ENSLAIG00005000022",110.055807142081,108.939420691607,75.7338289279997,92.8874314805917,79.8809059186878,97.5256986237593,86.1663864135664,73.2158293014904,57.9187178559472,76.5908651251525,85.3530148772822,42.5526649989565
"ENSLAIG00005000023",175.088784089675,180.783090371848,137.00938142429,167.601235062807,174.243145658892,155.318705215617,113.093382167806,136.44768188005,128.030849997357,91.6579205596087,281.16287253693,115.743248797162
"ENSLAIG00005000026",838.341773343659,402.888029971546,288.47703928029,425.060963623142,721.730992072354,278.128844223314,615.730636246943,1427.70867137906,2078.97713567137,642.861031870132,1740.53206808575,2066.35741234933
"ENSLAIG00005000027",0,0,0,0,0,0,5.3853991508479,0,0,1.25558795287135,0,3.40421319991652
"ENSLAIG00005000028",369.353958817743,351.235718436732,295.361932819199,365.155301291457,401.273088796215,310.637410431233,344.665545654265,485.886867182618,359.705721421146,330.219631605166,498.729381047649,297.868654992696
"ENSLAIG00005000029",2354.52726794877,3167.22583002107,489.515930616434,2134.72818072969,3333.04247795226,377.821780594268,911.927589543577,678.910417159274,719.411442842292,1072.27211175214,634.290051735097,803.394315180299
"ENSLAIG00005000030",206.771516448759,303.339938649905,296.05042217309,223.131764752291,289.62667643033,343.145976639153,396.724404112462,349.439185302568,387.140903563437,367.887270191306,505.423735155671,309.783401192403
"ENSLAIG00005000031",29.5983420723022,54.0001438773051,21.3431699706181,28.2700878419192,55.5896362825956,25.2844403839376,355.436343955961,439.294975808942,804.76534284053,364.120506332692,299.57234633399,617.864695784849
"ENSLAIG00005000033",0,0,2.75395741556362,0,0,5.77930065918574,23.3367296536742,0,0,28.8785229160411,0,10.2126395997496
"ENSLAIG00005000034",0.833756114712738,1.40869940549492,6.88489353890906,0.673097329569505,1.86855920277632,2.88965032959287,66.4199228604574,3.32799224097684,3.04835357136564,37.6676385861406,8.36794263502767,15.3189593996243
"ENSLAIG00005000035",12.9232197780474,8.9217629014678,8.26187224669087,22.5487605405784,7.47423681110529,6.50171324158396,57.4442576090442,0,6.09670714273129,70.3129253607957,8.36794263502767,15.3189593996243
"ENSLAIG00005000036",112.140197428863,71.8436696802407,52.3251908957089,133.273271254762,85.0194437263226,71.5188456574235,91.5517855644143,33.2799224097684,67.0637785700442,82.8688048895093,40.1661246481328,93.6158629977043
"ENSLAIG00005000037",40.0202935062114,74.1915020227322,117.731679515345,38.7030964502465,70.5381099048061,127.867027084484,48.4685923576311,66.5598448195367,51.822010713216,77.8464530780239,125.519139525415,102.126395997496
"ENSLAIG00005000038",253.044980815316,257.322424737071,191.400040381672,256.450082565981,264.868266993544,242.008215103403,260.294292290982,259.583394796193,320.077124993393,253.628766480013,157.31732153852,362.54870579111
"ENSLAIG00005000040",0,0,0,0,0,0,0,0,0,0,0,0
"ENSLAIG00005000042",0,0,0,0,0,0,0,0,0,1.25558795287135,0,0
"ENSLAIG00005000044",75.8718064388592,132.88731058502,108.781317914763,63.944246309103,173.776005858198,85.9670973053879,113.093382167806,39.935906891722,103.644021426432,135.603498910106,48.5340672831605,83.4032233979548
"ENSLAIG00005000045",286.812103461182,285.965979315468,221.005082598981,322.413620863793,274.678202808119,209.499648895483,441.602730369528,306.175286169869,155.466032139648,364.120506332692,252.711867577836,194.040152395242
"ENSLAIG00005000046",0,0,0.688489353890906,0,0,0,43.0831932067832,0,0,2.5111759057427,0,15.3189593996243
