bam,file_id,species,sex,analysis,phenotype,binary
LIB035248_GEN00127679_S1_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127679,lorquini,NA,genomic_cline,orange,1
LIB035248_GEN00127680_S2_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127680,lorquini,NA,genomic_cline,orange,1
LIB035248_GEN00127681_S3_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127681,lorquini,NA,genomic_cline,orange,1
LIB035248_GEN00127682_S4_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127682,lorquini,NA,genomic_cline,orange,1
LIB035248_GEN00127683_S5_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127683,lorquini,NA,genomic_cline,orange,1
LIB035248_GEN00127684_S6_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127684,lorquini,NA,genomic_cline,orange,1
LIB035248_GEN00127685_S7_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127685,lorquini,NA,genomic_cline,orange,1
LIB035248_GEN00127686_S8_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127686,lorquini,NA,genomic_cline,orange,1
LIB035248_GEN00127687_S9_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127687,lorquini,NA,genomic_cline,orange,1
LIB035248_GEN00127688_S10_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127688,lorquini,NA,genomic_cline,orange,1
LIB035248_GEN00127689_S11_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127689,hybrid,NA,genomic_cline,strong_orange,1
LIB035248_GEN00127690_S12_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127690,hybrid,NA,genomic_cline,strong_orange,1
LIB035248_GEN00127691_S13_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127691,hybrid,NA,genomic_cline,strong_orange,1
LIB035248_GEN00127692_S14_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127692,hybrid,NA,genomic_cline,strong_orange,1
LIB035248_GEN00127693_S15_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127693,hybrid,NA,genomic_cline,intermediate_orange,1
LIB035248_GEN00127694_S16_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127694,hybrid,NA,genomic_cline,intermediate_orange,1
LIB035248_GEN00127695_S17_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127695,hybrid,NA,genomic_cline,intermediate_orange,1
LIB035248_GEN00127696_S18_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127696,hybrid,NA,genomic_cline,intermediate_orange,1
LIB035248_GEN00127697_S19_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127697,hybrid,NA,genomic_cline,weak_orange,1
LIB035248_GEN00127698_S20_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127698,hybrid,NA,genomic_cline,weak_orange,1
LIB035248_GEN00127699_S21_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127699,hybrid,NA,genomic_cline,weak_orange,1
LIB035248_GEN00127700_S22_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127700,hybrid,NA,genomic_cline,weak_orange,1
LIB035248_GEN00127701_S23_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127701,weidemeyerii,NA,genomic_cline,black,0
LIB035248_GEN00127702_S24_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127702,weidemeyerii,NA,genomic_cline,black,0
LIB035248_GEN00127703_S25_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127703,weidemeyerii,NA,genomic_cline,black,0
LIB035248_GEN00127704_S26_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127704,weidemeyerii,NA,genomic_cline,black,0
LIB035248_GEN00127705_S27_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127705,weidemeyerii,NA,genomic_cline,black,0
LIB035248_GEN00127706_S28_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127706,weidemeyerii,NA,genomic_cline,black,0
LIB035248_GEN00127707_S29_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127707,weidemeyerii,NA,genomic_cline,black,0
LIB035248_GEN00127708_S30_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127708,weidemeyerii,NA,genomic_cline,black,0
LIB035248_GEN00127709_S31_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127709,weidemeyerii,NA,genomic_cline,black,0
LIB035248_GEN00127710_S32_trimtest_minq20_sorted.dedup.bam,LIB035248_GEN00127710,weidemeyerii,NA,genomic_cline,black,0
RIH_2088_trimtest_minq20_sorted.dedup.bam,RIH_2088,lorquini,M,dana_cohen,orange,1
RIH_2089_trimtest_minq20_sorted.dedup.bam,RIH_2089,lorquini,M,dana_cohen,orange,1
RIH_2090_trimtest_minq20_sorted.dedup.bam,RIH_2090,lorquini,M,dana_cohen,orange,1
RIH_2091_trimtest_minq20_sorted.dedup.bam,RIH_2091,lorquini,M,dana_cohen,orange,1
RIH_2092_trimtest_minq20_sorted.dedup.bam,RIH_2092,lorquini,M,dana_cohen,orange,1
RIH_2093_trimtest_minq20_sorted.dedup.bam,RIH_2093,lorquini,M,dana_cohen,orange,1
RIH_2094_trimtest_minq20_sorted.dedup.bam,RIH_2094,lorquini,M,dana_cohen,orange,1
RIH_2095_trimtest_minq20_sorted.dedup.bam,RIH_2095,lorquini,F,dana_cohen,orange,1
RIH_2106_trimtest_minq20_sorted.dedup.bam,RIH_2106,weidemeyerii,M,dana_cohen,black,0
RIH_2107_trimtest_minq20_sorted.dedup.bam,RIH_2107,weidemeyerii,M,dana_cohen,black,0
RIH_2108_trimtest_minq20_sorted.dedup.bam,RIH_2108,weidemeyerii,M,dana_cohen,black,0
RIH_2109_trimtest_minq20_sorted.dedup.bam,RIH_2109,weidemeyerii,M,dana_cohen,black,0
RIH_2110_trimtest_minq20_sorted.dedup.bam,RIH_2110,weidemeyerii,F,dana_cohen,black,0
RIH_2113_trimtest_minq20_sorted.dedup.bam,RIH_2113,weidemeyerii,M,dana_cohen,black,0
RIH_2114_trimtest_minq20_sorted.dedup.bam,RIH_2114,weidemeyerii,M,dana_cohen,black,0
RIH_2115_trimtest_minq20_sorted.dedup.bam,RIH_2115,weidemeyerii,M,dana_cohen,black,0
RIH_2125_trimtest_minq20_sorted.dedup.bam,RIH_2125,weidemeyerii,F,dana_cohen,black,0
RIH_2214_trimtest_minq20_sorted.dedup.bam,RIH_2214,weidemeyerii,F,dana_cohen,black,0
RIH_2287_trimtest_minq20_sorted.dedup.bam,RIH_2287,lorquini,F,dana_cohen,orange,1
