tx	gene_id	d3_fw_1	d3_fw_2	d3_fw_3	d3_hw_1	d3_hw_2	d3_hw_3	d6_fw_1	d6_fw_2	d6_fw_3	d6_hw_1	d6_hw_2	d6_hw_3
HMEL032416g1.t1	HMEL032416g1	0	0	0	0	0	0	0	0	0	0	0	0
HMEL035810g1.t1	HMEL035810g1	731	795	533	922	953	479	91	131	70	108	263	218
HMEL035809g1.t1	HMEL035809g1	1502	1743	1026	1684	1826	950	191	235	151.828	228	328	335
HMEL035815g1.t1	HMEL035815g1	811	982	536	966	1066	501	131	118	75	148	497	212
HMEL013040g1.t1	HMEL013040g1	3	1	5	3	7	4	2	4	6	16	23	8
HMEL013040g2.t1	HMEL013040g2	1	0	0	1	2	0	3	3	3	2	13	10
HMEL013040g3.t1	HMEL013040g3	3	2	1	0	24	1	2	0	7	14	109	11
HMEL013045g3.t1	HMEL013045g3	0	6	0	1	0	0	0	0	0	0	0	0
HMEL009249g1.t1	HMEL009249g1	1015	667	273	1189	599	350	65	116	63	86	93	165
HMEL025047g1.t1	HMEL025047g1	1	6	1	5	7	0	0	5.404	2	1	17	10
HMEL025047g2.t1	HMEL025047g2	10	4	7	11	13	3	13	18	32	55	45	35
HMEL011562g1.t1	HMEL011562g1	32803	36911	6181	67975	27432	5282	2543	9837	1107	1615	5856	15502
HMEL011562g3.t1	HMEL011562g3	13	39	0	30	21	2	1	7	0	4	5	11
HMEL011562g6.t1	HMEL011562g6	238	582	124	765	666	137	25	251	17	35	104	491.918
HMEL035827g1.t1	HMEL035827g1	0	0	0	0	1	0	0	0	0	0	1	0
HMEL002096g1.t1	HMEL002096g1	3	4	0	6	5	2	1	4	1	5	11	9
HMEL035660g1.t1	HMEL035660g1	0	1	0	0	0	0	0	1	4	2.954	7	0
HMEL008471g6.t1	HMEL008471g6	48	68	68	66	86	39	4	20	20	17	37	48
HMEL008471g4.t1	HMEL008471g4	1	0	0	0	0	0	0	0	0	4	72	1
HMEL008471g1.t1	HMEL008471g1	0	1	0	0	1	0	0	4	1	7	5	4
HMEL007803g1.t1	HMEL007803g1	1	0	1	0	1	0	0	1	1	4	2	3
HMEL012191g1.t1	HMEL012191g1	0	0	0	0	0	0	0	0	0	0	0	0
HMEL012191g1.t2	HMEL012191g1	11	7	4	9	8	4	1	7	1	4	19	6
HMEL036024g1.t1	HMEL036024g1	0	0	0	3	0	0	0	0	1	0	2	0
HMEL014279g1.t1	HMEL014279g1	0	0	0	0	0	0	0	0	0	0	7.16	0
HMEL012196g2.t1	HMEL012196g2	1	0	0	1	0	0	2	0	0	1	34	12
HMEL012199g1.t1	HMEL012199g1	316	1084	1654	403	1980	919	482	10	337	587	1243	11
HMEL012199g2.t1	HMEL012199g2	135	85	435	238	59	301	106	57	106	135	259	134
HMEL012199g3.t1	HMEL012199g3	3394	1596	528	4549	1226	550	134	47	154	247	304	91
HMEL010547g1.t1	HMEL010547g1	827	739	178	962	637	152	144	94	132	162	163	246
HMEL032660g1.t1	HMEL032660g1	0	0	0	0	0	0	0	0	0	0	7.379	3.842
HMEL013525g1.t1	HMEL013525g1	2	0	0	3	2	0	2	0	0	0	0	0
HMEL013525g1.t2	HMEL013525g1	0	4	0	0	0	0	0	0	0	0	0	2
HMEL017933g2.t1	HMEL017933g2	19	27	21	46	36	12	0	10	3	16	4	13
HMEL017931g1.t1	HMEL017931g1	2015	1104	533	1950	943	515	94	166	90	204	108	322
HMEL035449g1.t1	HMEL035449g1	0	0	0	0	0	0	0	2	1	3	5	6
HMEL013519g1.t1	HMEL013519g1	400	312	103	483	254	131	21	71	20	51	45	128
HMEL035450g1.t1	HMEL035450g1	3	7	2	3	3	2	0	3	7	5	20	10
HMEL013518g1.t1	HMEL013518g1	6	5	0	10	6	0	1	1	0	2	2	2
HMEL013517g2.t1	HMEL013517g2	157	113	96	180	99	74	20	43	19	24	38	71
HMEL013514g1.t1	HMEL013514g1	48	43	25	65	44	20	6	26	6	32	26	53
HMEL013510g1.t1	HMEL013510g1	92	123	34	156	232	14	2	12	3	20	34	27
HMEL035451g1.t1	HMEL035451g1	0	0	0	0	0	0	0	0	0	0	0	1
HMEL035452g1.t1	HMEL035452g1	0	0	0	1	0	0	0	0	0	1	0	0
HMEL013509g1.t1	HMEL013509g1	51	60	22	61	55	37	6	9	13	22	31	29
HMEL013505g1.t1	HMEL013505g1	251	257	123	279	214	121	32	27	35	36	59	62
HMEL013498g1.t1	HMEL013498g1	0	0	0	0	0	0	0	1	1	3.261	6	9
HMEL013496g1.t1	HMEL013496g1	0	1	1	0	0	0	3	1.981	0	1	6	4
HMEL035456g1.t1	HMEL035456g1	0	0	0	0	1	0	2	1	0	4	17	1
HMEL007271g1.t2	HMEL007271g1	257.944	871	420.117	635.539	966.495	422.531	176	0	0	0	156.736	426
HMEL007271g1.t1	HMEL007271g1	255.056	0	240.883	236.461	99.505	35.469	0	189	137	100	296.264	0
HMEL022657g2.t1	HMEL022657g2	2	6	1	7	4	2	0	0	0	5	1	0
HMEL006113g1.t1	HMEL006113g1	2	0	1	0	4	0	0	1	0	0	0	4
HMEL035720g1.t1	HMEL035720g1	42	31853	92	72	92619	68	9	3	5	11	20	14
HMEL009813g1.t1	HMEL009813g1	0	0	0	0	0	0	0	0	0	1	0	0
HMEL009822g1.t1	HMEL009822g1	123	142	148	150	320	153	443	21365	211	364	2940	53232
HMEL013425g1.t1	HMEL013425g1	19	12	13	33	23	23	1	5	0	1	4	1
HMEL017098g3.t1	HMEL017098g3	0	0	0	0	0	0	0	0	0	3	0	0
HMEL008717g1.t1	HMEL008717g1	0	0	0	0	0	0	0	0	0	1	0	0
HMEL008717g1.t2	HMEL008717g1	0	0	0	0	0	0	1	0	2	0	0	0
HMEL003497g2.t1	HMEL003497g2	49	59	5	111	63	8	1	33	3	6	7	40
HMEL003497g3.t1	HMEL003497g3	82	69	11	181	66	5	2	31	7	19	27	73
HMEL003496g1.t1	HMEL003496g1	2	2	16	4	4	10	2	10	7	6	38	11
HMEL010553g1.t1	HMEL010553g1	251	198	133	308	221	129	29	49	21	45	16	51
HMEL010382g2.t1	HMEL010382g2	1	30	18	4	19	7	4	8	6	11	47	41
HMEL017925g5.t1	HMEL017925g5	0	0	0	1	0	0	2	0	3	8	0	1
HMEL017925g3.t1	HMEL017925g3	15	37	37	40	27	20	10	9	1	3	16	13
HMEL017925g1.t1	HMEL017925g1	2	4	3	1	2	4	0	2	0	1	11	5
HMEL035593g1.t1	HMEL035593g1	39	22	46.923	30	29	58.976	83.981	69.988	67.995	71.984	60.985	58.981
HMEL013867g1.t1	HMEL013867g1	0	1	0	0	0	0	0	0	0	2	0	1
HMEL013867g1.t2	HMEL013867g1	0	0	0	0	0	0	0	0	0	0	0	0
HMEL013867g2.t1	HMEL013867g2	2.167	0	0	0	0	0	4	3	0	10	19	20
HMEL013867g2.t2	HMEL013867g2	34.833	0	0	43	16	0	0	0	0	0	0	0
HMEL013867g2.t3	HMEL013867g2	0	16	3	0	0	8	0	0	0	0	0	0
HMEL013866g1.t1	HMEL013866g1	0	0	0	0	0	0	0	0	0	3	7	0
HMEL013866g3.t1	HMEL013866g3	229.462	199.812	0	338.794	182.87	0	41.165	120	104	141	159.071	78.347
HMEL013866g3.t2	HMEL013866g3	195.538	133.188	192	309.206	198.13	134	127.835	0	0	0	199.929	141.653
HMEL013865g1.t1	HMEL013865g1	466	270	411	599	271	332	102	124.999	112	128.999	138	158
HMEL013864g1.t1	HMEL013864g1	0	1	1	0	1	0	0	2	0	7	2	5
HMEL013863g1.t1	HMEL013863g1	1	0	0	1	1	0	0	0	0	2	0	0
HMEL012849g1.t1	HMEL012849g1	8	6	10	66	51	1	8	12	6	11	45.001	17
HMEL012850g1.t1	HMEL012850g1	0	0	0	0	0	0	0	0	0	1	4	5
HMEL035629g1.t1	HMEL035629g1	119.917	93.037	73.592	112.872	85.089	73.032	22	40	0	41	44.507	0
HMEL035629g1.t2	HMEL035629g1	4.083	17.963	38.408	4.128	169.911	10.968	0	0	21	0	4.493	46
HMEL014710g2.t1	HMEL014710g2	7	3	7	2	0	5	9	2	3	12	49	15
HMEL014709g1.t1	HMEL014709g1	2990	3732	1603	4561	3690	1402	303	559	163	331	798	918
HMEL014707g1.t1	HMEL014707g1	266	182	108	257	174	113	34	44	54	84	78	88
HMEL035631g1.t1	HMEL035631g1	0	0	0	0	0	0	0	1	2	6	5	2
HMEL014701g4.t1	HMEL014701g4	0	0	0	0	0	0	0	0	0	0	0	0
HMEL014701g3.t1	HMEL014701g3	5	1	2	0	1	4	9	14	13	30.966	21	23
HMEL014701g1.t1	HMEL014701g1	0	0	0	1	0	1	0	7	4	6	27	9
HMEL013915g3.t1	HMEL013915g3	176.932	151.879	230	140.606	140.122	100.572	0	0	27	62	0	0
HMEL013915g3.t2	HMEL013915g3	71.068	106.121	0	155.394	121.878	91.428	36	84	0	0	169	135
HMEL036737g1.t1	HMEL036737g1	0	0	0	0	0	0	0	0	0	4	2	0
HMEL013915g5.t1	HMEL013915g5	1	1	4	1	1	3	0	1	0	7	3	1
HMEL035642g1.t1	HMEL035642g1	0	1	0	0	0	0	2	1	0	1	6	0
HMEL002168g1.t1	HMEL002168g1	5	4	11	2	3	8	14	64	14	11	49	123
HMEL035647g1.t1	HMEL035647g1	0	0	0	0	1	0	6	11	1	17	3	6
HMEL008463g2.t1	HMEL008463g2	858	885	4118	1047	842	3573	1612	8606	1425	2931	3632	13180
HMEL008461g1.t1	HMEL008461g1	211	176	98	265	126	53	71	216	88	190	102	236
HMEL017865g1.t1	HMEL017865g1	1	0	0	0	1	0	0	1	1	0	1	2
HMEL033873g1.t1	HMEL033873g1	0	5.397	0	0	6	0	1	0	0	4.319	3	2
HMEL008455g1.t2	HMEL008455g1	60.667	67.347	146.361	44	62.02	130.311	14	53.566	13	17	28.96	65.768
