tx	gene_id	d3_fw_1	d3_fw_2	d3_fw_3	d3_hw_1	d3_hw_2	d3_hw_3	d6_fw_1	d6_fw_2	d6_fw_3	d6_hw_1	d6_hw_2	d6_hw_3
HMEL032416g1.t1	HMEL032416g1	13.626	10.997	18.287	12.208	11.015	18.131	28.622	26.779	25.969	27.311	22.441	23.705
HMEL035810g1.t1	HMEL035810g1	711.485	708.23	697.864	717.794	702.981	699.514	730.248	738.892	744.619	746.879	753.913	764.353
HMEL035809g1.t1	HMEL035809g1	1487.428	1484.145	1473.765	1493.743	1478.91	1475.405	1506.151	1514.808	1520.49	1522.805	1529.824	1540.313
HMEL035815g1.t1	HMEL035815g1	963.428	960.145	949.765	969.743	954.91	951.405	982.151	990.808	996.49	998.805	1005.824	1016.313
HMEL013040g1.t1	HMEL013040g1	171.472	174.848	168.143	179.379	171.661	173.182	189.837	186.802	194.449	199.014	196.153	202.662
HMEL013040g2.t1	HMEL013040g2	529.018	526.029	515.715	535.353	520.795	517.601	547.47	555.976	561.777	564.122	571.03	581.403
HMEL013040g3.t1	HMEL013040g3	855.428	852.145	841.765	861.743	846.91	843.405	874.151	882.808	888.49	890.805	897.824	908.313
HMEL013045g3.t1	HMEL013045g3	69.135	71.355	66.701	72.263	68.631	69.789	77.818	76.224	82.367	82.743	79.14	81.194
HMEL009249g1.t1	HMEL009249g1	162.852	166.452	159.662	170.688	163.309	164.823	180.872	177.613	185.109	189.75	186.285	192.683
HMEL025047g1.t1	HMEL025047g1	1253.428	1250.145	1239.765	1259.743	1244.91	1241.405	1272.151	1280.808	1286.49	1288.805	1295.824	1306.313
HMEL025047g2.t1	HMEL025047g2	2846.428	2843.145	2832.765	2852.743	2837.91	2834.405	2865.151	2873.808	2879.49	2881.805	2888.824	2899.313
HMEL011562g1.t1	HMEL011562g1	14483.428	14480.145	14469.765	14489.743	14474.91	14471.405	14502.151	14510.808	14516.49	14518.805	14525.824	14536.313
HMEL011562g3.t1	HMEL011562g3	668.517	665.283	654.92	674.821	660.021	656.612	687.26	695.897	701.636	703.915	710.926	721.359
HMEL011562g6.t1	HMEL011562g6	10655.428	10652.145	10641.765	10661.743	10646.91	10643.405	10674.151	10682.808	10688.49	10690.805	10697.824	10708.313
HMEL035827g1.t1	HMEL035827g1	31.273	32.019	29.382	32.458	30.742	31.054	33.673	33.879	37.867	36.86	36.045	35.653
HMEL002096g1.t1	HMEL002096g1	203.053	205.672	198.749	210.981	202.069	203.026	222.002	220.136	228.237	232.578	232.039	238.812
HMEL035660g1.t1	HMEL035660g1	167.527	171.019	164.246	175.406	167.836	169.371	185.765	182.636	190.213	194.76	191.675	198.113
HMEL008471g6.t1	HMEL008471g6	657.521	654.306	643.939	663.832	649.04	645.645	676.272	684.898	690.636	692.917	699.929	710.362
HMEL008471g4.t1	HMEL008471g4	206.37	208.898	201.899	214.305	205.27	206.173	225.335	223.662	231.735	236.031	235.767	242.583
HMEL008471g1.t1	HMEL008471g1	232.658	234.458	227.101	240.53	230.699	230.984	251.765	251.424	259.586	263.449	264.894	272.042
HMEL007803g1.t1	HMEL007803g1	788.428	785.145	774.765	794.743	779.91	776.405	807.151	815.808	821.49	823.805	830.824	841.313
HMEL012191g1.t1	HMEL012191g1	179.45	182.541	175.799	187.357	179.333	180.589	198.068	195.206	202.922	207.551	205.24	211.81
HMEL012191g1.t2	HMEL012191g1	153.569	157.482	150.577	161.323	154.328	155.803	171.271	167.725	175.157	179.659	175.613	181.899
HMEL036024g1.t1	HMEL036024g1	148.231	152.204	145.353	155.847	149.166	150.642	165.693	162.051	169.409	173.853	169.426	175.63
HMEL014279g1.t1	HMEL014279g1	71.632	73.985	69.18	74.946	71.203	72.429	80.676	79.005	85.172	85.715	81.909	84.203
HMEL012196g2.t1	HMEL012196g2	23.119	23.618	21.46	24.109	22.711	22.817	24.411	24.495	27.71	26.927	25.984	25.724
HMEL012199g1.t1	HMEL012199g1	439.32	437.169	426.657	445.873	432.048	428.776	457.297	465.378	471.225	473.727	480.292	490.512
